,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,0,0,0,0,5,0,0,0,0,4,5,0,3,4,0,0,0,2,1,0
2,1,9,0,1,0,0,1,2,0,0,3,0,7,3,1,0,2,0,0,0
3,1,3,0,1,5,0,0,0,0,1,5,0,4,2,0,0,1,1,2,1
4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,3,15,0,8,0,0,0,0,0,1,19,0,0,0,1,0,0,6,2,6
6,3,37,0,2,3,1,6,7,0,1,6,0,18,5,0,4,5,1,0,2
7,0,4,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
8,0,1,0,0,3,0,0,0,0,3,8,0,4,3,0,1,0,1,1,0
9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,3,0,1,0,0,2,3,0,4,1,0,0,1,1,0,0
12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0,6,0,1,1,0,0,1,0,0,6,0,4,1,0,0,1,1,0,3
14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15,0,6,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5
16,1,8,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,4
17,0,0,0,0,12,0,0,0,0,8,7,0,3,3,0,0,0,2,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,2,0,0,4,0,0,1,0,3,7,0,0,2,0,0,1,2,1,1
20,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1
