"","(Intercept)","Mixed_Forest","Deciduous_Forest","Shrubs","Grasslands_Wetlands","Acricultural_Land","Barren","Urban","Water_Bodies","Coastal","Stand_Age","Pine_Volume","Spruce_Volume","Birch_Volume","Other_Deciduous_Volume","VMI_PC1","duration","linelength","polyAprMay1","polyDecFeb1","polyJunJul1"
"JX.1024413",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.08946575742889,2.01563578532985,-0.465208330695716,-0.902339226774353,0.0568732174628125,0.752243065284732,2.07935060047524,0.931472652905095,0.0746621445192275,1.34937810390035,-0.980317437647051
"JX.1024414",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.35793159106184,2.14244185946897,-0.408349223822383,-0.701082038185194,0.837771009643125,0.899531877378952,-0.0731063570391391,-0.0082595709449649,0.243932401210123,2.2531656016934,-0.0498012620633445
"JX.1024415",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.54285142832615,2.56526012205359,-0.39203872817514,-0.880966886946684,2.23190726205569,0.890507887274979,-0.303610627052217,-0.0159632289803198,0.50291820322764,1.95125935920496,-0.601415354997135
"JX.1024416",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.72777126559047,2.9880783846382,-0.375728232527897,-1.06085173570818,3.62604351446825,0.881483897171006,0.148697533107936,-0.0198160136814878,-0.27601492053981,2.04166329893651,0.183645937907245
"JX.1126859",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.1936833990472,2.20133692502829,-0.656117753145651,-0.89660714826298,1.47652160248055,0.881162761408274,0.170424380500126,-0.189972578781696,0.229114518348369,2.80142024754734,0.149032776406175
"JX.1391628",1,-0.917547449636794,-0.24336552958943,-0.673467311016388,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,5.50415909124644,1.24892815283005,2.02403982613503,-0.64850945700332,-0.838423913248563,1.53645352335288,0.893149361602456,1.1103649238583,-0.189972578781696,0.034134272692144,1.63793367169779,1.24205980905453
"JX.1024956",1,0.647424814749499,-0.24336552958943,0.0756820623222692,-0.429797031104632,0.883003374846942,-0.116946563876709,-0.22777859853314,-0.305408797141386,-0.144282977268413,-0.692551877335042,-0.886409512016995,1.53209129748342,0.432145066029638,2.88224685281514,1.08737928875771,0.998416671932665,-0.205503174361311,0.572709790039711,1.06302257521932,0.547825817947877
"JX.1007990",1,0.908253525480548,-0.24336552958943,0.325398520101822,-0.429797031104632,0.883003374846942,-0.116946563876709,-0.22777859853314,-0.305408797141386,-0.144282977268413,-0.79329345058629,-0.803295784032954,0.934721038054907,0.704075835205134,1.35295661236219,0.997130961496055,2.5750324300179,0.468232167932649,0.841546918293132,0.486577340676901,1.15763310438595
"JX.1397345",1,0.908253525480548,-0.24336552958943,0.325398520101822,-0.429797031104632,0.883003374846942,-0.116946563876709,-0.22777859853314,-0.305408797141386,-0.144282977268413,-0.682445440961482,-0.785415090165933,1.15008473948529,1.11441758981524,1.04935774833069,0.805743479766109,1.58930808579946,0.26738873322806,0.0899675421418013,0.156681679257509,2.13715664457261
"JX.1024960",1,0.205179809153023,1.39917486354775,0.910036526241876,-0.429797031104632,-0.534055764059088,-0.116946563876709,-0.22777859853314,-0.305408797141386,-0.144282977268413,-0.0289779565221168,0.689621888969543,1.90218360750541,1.2908541308143,1.8039271847958,1.27379609821798,0.568669405221049,-0.197736582139474,0.823087107728018,-0.113309126974054,0.162255947558841
